data_date,security_id,d2
20100104,647001,3.936
20100104,696801,2.295
20100104,702901,NA
20100104,1178501,NA
20100104,1323901,0.7976
20100104,1384501,NA
20100104,1536201,NA
20100104,1604101,-10.381
20100104,1610801,2.097
20100104,2486001,-15.6589
20100104,2664401,-102.548
20100104,2695001,13.0235
20100104,2821001,7.095
20100104,3523901,9.511
20100104,4843901,14.054
20100104,5126301,5.756
20100104,5299101,NA
20100104,5494301,8.992
20100104,5498201,4.471
20100104,5690901,NA
20100104,5694501,NA
20100104,5749801,NA
20100104,6963101,NA
20100104,7053601,NA
20100104,7783801,-2.465
20100104,7794701,10.927
20100104,7794901,5.1888
20100104,8000101,1.0702
20100104,8052801,NA
20100104,8208101,0.197
20100105,1168901,17.848
20100105,4606301,0.12
20100106,581101,22.373
20100106,4130401,5.04
20100106,4834101,-156
20100106,7040301,74.005
20100106,7384301,238.186
20100106,7459201,31.168
20100106,33060401,42.015
20100107,199401,120.6
20100107,229001,-9.361
20100107,883201,707.545
20100107,1059901,-58.46
20100107,2539201,354.331
20100107,3557001,72.176
20100107,4765001,-115
20100107,5692501,-7.089
20100107,5880001,309.255
20100107,5980701,NA
20100107,5996301,11.015
20100107,6032501,46.949
20100107,6088601,74.106
20100107,6847201,126.579
20100107,6941901,760.499
20100107,7769401,120.157
20100107,8057901,2.2784
20100107,8262901,254.037
20100108,597901,893.822
20100108,1168801,13.862
20100108,1357501,12.3193
20100108,1674101,242.5
20100108,2819401,6.921
20100108,3039001,923.475
20100108,3058801,-6.7069
20100108,4154801,163.758
20100108,4202701,NA
20100108,4202901,NA
20100108,4388101,238.833
20100108,5132601,40.488
20100108,6045001,4.8891
20100108,6165901,14.621
20100108,6842801,79.153
20100108,7170501,8.989
20100108,7376401,NA
20100108,7529201,-11.775
20100108,33172401,117.53
20100108,1090609401,NA
20100108,1113653301,206.955
20100111,156201,88.7173
20100111,3130501,127.464
20100111,4536601,NA
20100111,5478201,-7.183
20100111,5706001,2.842
20100111,5815501,-1.3728
20100111,7001001,-19.258
20100111,7422201,0.7882
20100112,288501,-257
20100112,682501,92.695
20100112,716301,48.645
20100112,1418701,51808
20100112,4507101,3.061
20100112,8050701,45.018
